respondent_anon_id,raw_text,categoria_num,categoria_label,categoria_sub,categoria_sub_label
A-001,Defender e saber dos nossos direitos,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-002,Auxiliar e orientar nos nossos direitos,2,Orientação sobre direitos,2,Orientação sobre direitos
A-003,Defesa e orientação,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-004,Orientar e ajudar mulheres de todo o Brasil,2,Orientação sobre direitos,2,Orientação sobre direitos
A-006,é importante para ajudar a gente a receber os nossos direitos,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-007,"Todas são importantes, principalmente cuidar dos meus direitos",5,Todas / não sabe / sem resposta clara,5a,"""Todas"" / tudo é importante"
A-009,Defender a trabalhadora doméstica,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-011,Cuidar da doméstica,4,"Cuidado, proteção e acolhimento",4,"Cuidado, proteção e acolhimento"
A-012,Cuidar de nós para o patrão não nos roubar,4,"Cuidado, proteção e acolhimento",4,"Cuidado, proteção e acolhimento"
A-014,Nos informar dos nossos direitos e nos defender quando for possível,2,Orientação sobre direitos,2,Orientação sobre direitos
A-015,Cuidando e protegendo as empregadas domésticas,4,"Cuidado, proteção e acolhimento",4,"Cuidado, proteção e acolhimento"
A-016,Ajudar as pessoas a ter os seus direitos,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-017,Cuidar das trabalhadoras,4,"Cuidado, proteção e acolhimento",4,"Cuidado, proteção e acolhimento"
A-018,"Se não fosse o sindicato, o que seria de minha vida?",5,Todas / não sabe / sem resposta clara,5e,"Vago, genérico ou off-topic"
A-019,Defesa dos trabalhadores,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-020,Informação dos direitos trabalhistas,2,Orientação sobre direitos,2,Orientação sobre direitos
A-021,Acho que é cuidar das trabalhadoras,4,"Cuidado, proteção e acolhimento",4,"Cuidado, proteção e acolhimento"
A-022,Defender e proteger os trabalhadores contra os patrões,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-023,Defender na justiça os nossos direitos,3,Apoio jurídico e cobrança dos patrões,3,Apoio jurídico e cobrança dos patrões
