respondent_anon_id,q_filiacao_raw,filiada_norm
B-001,Não,Nao
B-002,Sim,Sim
B-003,Sim,Sim
B-004,Não,Nao
B-005,Sim,Sim
B-006,Sim,Sim
B-007,Não,Nao
B-008,Não,Nao
B-009,Sim,Sim
B-010,Não,Nao
B-011,Não,Nao
B-012,Não,Nao
B-013,Sim,Sim
B-014,Não,Nao
B-015,Não,Nao
B-016,Não,Nao
B-017,Não,Nao
B-018,Não,Nao
B-019,Não,Nao
B-020,Sim,Sim
B-021,Não,Nao
B-022,Não,Nao
B-023,,
B-024,Não,Nao
B-025,Não,Nao
B-026,Sim,Sim
B-027,,
B-028,Sim,Sim
B-029,Não,Nao
B-030,Não,Nao
B-031,Não,Nao
B-032,Sim,Sim
B-033,Não,Nao
B-034,Não,Nao
B-035,Não,Nao
B-036,Não,Nao
B-037,Não,Nao
B-038,Não,Nao
B-039,Sim,Sim
B-040,,
B-041,Sim,Sim
B-042,Não,Nao
B-043,Não,Nao
B-044,Não,Nao
B-045,Sim,Sim
B-046,Não,Nao
B-047,Não,Nao
B-048,Não,Nao
B-049,Não,Nao
B-050,Não,Nao
B-051,Não,Nao
B-052,Não,Nao
B-053,Não,Nao
B-054,Não,Nao
B-055,Não,Nao
B-056,Não,Nao
B-057,Não,Nao
B-058,Não,Nao
B-059,Não,Nao
B-060,Sim,Sim
B-061,Sim,Sim
B-062,Não,Nao
B-063,Não,Nao
B-064,Sim,Sim
B-065,Não,Nao
B-066,Sim,Sim
B-067,Sim,Sim
B-068,Não,Nao
B-069,Não,Nao
B-070,Sim,Sim
B-071,Sim,Sim
B-072,Não,Nao
B-073,Não,Nao
B-074,,
B-075,Não,Nao
B-076,Sim,Sim
B-077,,
B-078,Sim,Sim
B-079,Não,Nao
B-080,Sim,Sim
B-081,Sim,Sim
B-082,Não,Nao
B-083,Não,Nao
B-084,Não,Nao
B-085,Não,Nao
B-086,Não,Nao
B-087,Não,Nao
B-088,Não,Nao
B-089,Sim,Sim
B-090,Não,Nao
B-091,Não,Nao
B-092,Não,Nao
B-093,Não,Nao
B-094,Sim,Sim
B-095,Não,Nao
B-096,Não,Nao
B-097,Não,Nao
B-098,Sim,Sim
B-099,Não,Nao
B-100,Não,Nao
B-101,Não,Nao
B-102,Não,Nao
B-103,Não,Nao
B-104,Não,Nao
B-105,Não,Nao
B-106,Sim,Sim
B-107,Não,Nao
B-108,Não,Nao
B-109,Sim,Sim
B-110,Não,Nao
B-111,Não,Nao
B-112,Não,Nao
B-113,Sim,Sim
B-114,Sim,Sim
B-115,Não,Nao
B-116,Sim,Sim
B-117,Não,Nao
B-118,Sim,Sim
B-119,,
B-120,Não,Nao
B-121,Sim,Sim
B-122,Não,Nao
B-123,Sim,Sim
B-124,Não,Nao
B-125,Não,Nao
B-126,Sim,Sim
B-127,,
B-128,Não,Nao
B-129,Sim,Sim
B-130,Não,Nao
B-131,Não,Nao
B-132,Não,Nao
B-133,Não,Nao
B-134,Sim,Sim
B-135,Sim,Sim
B-136,,
B-137,Não,Nao
B-138,Não,Nao
B-139,Não,Nao
B-140,Sim,Sim
B-141,Sim,Sim
B-142,Não,Nao
B-143,Não,Nao
B-144,Não,Nao
B-145,Não,Nao
B-146,Sim,Sim
B-147,Não,Nao
B-148,Não,Nao
B-149,Não,Nao
B-150,,
B-151,Sim,Sim
B-152,Não,Nao
B-153,Não,Nao
B-154,Sim,Sim
B-155,Não,Nao
B-156,Não,Nao
B-157,Sim,Sim
B-158,Sim,Sim
B-159,Não,Nao
B-160,Sim,Sim
B-161,Não,Nao
B-162,Não,Nao
B-163,Não,Nao
B-164,Sim,Sim
B-165,Não,Nao
B-166,Não,Nao
B-167,Não,Nao
B-168,Não,Nao
B-169,Sim,Sim
B-170,Sim,Sim
B-171,Não,Nao
B-172,Sim,Sim
B-173,Não,Nao
B-174,Não,Nao
B-175,Não,Nao
B-176,Não,Nao
B-177,Sim,Sim
B-178,Não,Nao
B-179,Sim,Sim
B-180,Sim,Sim
B-181,Sim,Sim
B-182,Sim,Sim
B-183,Não,Nao
B-184,Sim,Sim
B-185,Sim,Sim
B-186,Não,Nao
B-187,Não,Nao
B-188,Sim,Sim
B-189,Não,Nao
B-190,Não,Nao
B-191,Não,Nao
B-192,Sim,Sim
B-193,Não,Nao
B-194,Não,Nao
B-195,Não,Nao
B-196,Não,Nao
B-197,Sim,Sim
B-198,Não,Nao
B-199,Sim,Sim
B-200,Não,Nao
B-201,Não,Nao
B-202,Não,Nao
B-203,Não,Nao
B-204,Não,Nao
B-205,Sim,Sim
B-206,Não,Nao
B-207,Não,Nao
B-208,Sim,Sim
B-209,Não,Nao
B-210,Não,Nao
B-211,Não,Nao
B-212,Não,Nao
B-213,Não,Nao
B-214,Não,Nao
B-215,Sim,Sim
B-216,Não,Nao
B-217,Não,Nao
B-218,Sim,Sim
B-219,Não,Nao
B-220,Sim,Sim
B-221,Não,Nao
B-222,Não,Nao
B-223,Sim,Sim
B-224,Não,Nao
B-225,Não,Nao
B-226,Não,Nao
B-227,Sim,Sim
B-228,Não,Nao
B-229,Não,Nao
B-230,Não,Nao
B-231,Sim,Sim
B-232,,
B-233,Não,Nao
B-234,Não,Nao
B-235,Não,Nao
B-236,Não,Nao
B-237,Sim,Sim
B-238,Não,Nao
B-239,Não,Nao
B-240,Sim,Sim
B-241,Não,Nao
