year,cut,group,n,n_filiadas_unw,pct_filiadas,ci_lo,ci_hi
2024,overall,all,10795,376,2.599,3.153,3.846
2024,race,negras,7487,278,2.535,3.308,4.166
2024,race,nao_negras,3307,98,2.737,2.438,3.598
2024,formality,com_carteira,2514,53,2.212,1.615,2.747
2024,formality,sem_carteira,8281,323,2.725,3.504,4.339
2024,race_x_formality,negras_com_carteira,1645,30,1.315,1.28,2.592
2024,race_x_formality,negras_sem_carteira,5842,248,2.92,3.757,4.793
2024,race_x_formality,nao_negras_com_carteira,868,23,3.982,1.772,3.945
2024,race_x_formality,nao_negras_sem_carteira,2439,75,2.299,2.46,3.837
2012,overall,all,13244,474,2.676,3.276,3.909
2012,race,negras,8682,325,2.867,3.364,4.164
2012,race,nao_negras,4562,149,2.35,2.788,3.823
2012,formality,com_carteira,3715,105,2.333,2.34,3.41
2012,formality,sem_carteira,9529,369,2.827,3.503,4.279
2012,race_x_formality,negras_com_carteira,2233,62,2.081,2.172,3.543
2012,race_x_formality,negras_sem_carteira,6449,263,3.177,3.622,4.589
2012,race_x_formality,nao_negras_com_carteira,1482,43,2.69,2.161,3.885
2012,race_x_formality,nao_negras_sem_carteira,3080,106,2.173,2.854,4.146
2013,overall,all,13377,501,2.802,3.437,4.08
2013,race,negras,8916,348,2.901,3.521,4.325
2013,race,nao_negras,4461,153,2.627,2.934,4.005
2013,formality,com_carteira,3787,106,2.618,2.32,3.374
2013,formality,sem_carteira,9590,395,2.881,3.739,4.535
2013,race_x_formality,negras_com_carteira,2351,71,2.514,2.401,3.792
2013,race_x_formality,negras_sem_carteira,6565,277,3.052,3.759,4.733
2013,race_x_formality,nao_negras_com_carteira,1436,35,2.771,1.758,3.371
2013,race_x_formality,nao_negras_sem_carteira,3025,118,2.554,3.267,4.651
2014,overall,all,12792,551,3.261,3.969,4.673
2014,race,negras,8581,390,3.426,4.124,5.006
2014,race,nao_negras,4211,161,2.975,3.285,4.446
2014,formality,com_carteira,3764,121,3.444,2.697,3.828
2014,formality,sem_carteira,9028,430,3.176,4.343,5.222
2014,race_x_formality,negras_com_carteira,2348,78,3.32,2.67,4.127
2014,race_x_formality,negras_sem_carteira,6233,312,3.471,4.491,5.575
2014,race_x_formality,nao_negras_com_carteira,1416,43,3.634,2.262,4.065
2014,race_x_formality,nao_negras_sem_carteira,2795,118,2.63,3.537,5.032
2015,overall,all,12877,521,2.998,3.719,4.4
2015,race,negras,8578,356,3.065,3.748,4.593
2015,race,nao_negras,4299,165,2.875,3.304,4.455
2015,formality,com_carteira,3915,120,2.766,2.569,3.653
2015,formality,sem_carteira,8962,401,3.11,4.066,4.922
2015,race_x_formality,negras_com_carteira,2478,65,2.296,2.063,3.329
2015,race_x_formality,negras_sem_carteira,6100,291,3.415,4.263,5.334
2015,race_x_formality,nao_negras_com_carteira,1437,55,3.546,2.952,4.949
2015,race_x_formality,nao_negras_sem_carteira,2862,110,2.519,3.199,4.612
2016,overall,all,13088,564,3.56,3.975,4.671
2016,race,negras,8788,402,3.898,4.157,5.031
2016,race,nao_negras,4298,162,2.943,3.24,4.381
2016,formality,com_carteira,3960,131,3.957,2.795,3.912
2016,formality,sem_carteira,9128,433,3.374,4.326,5.199
2016,race_x_formality,negras_com_carteira,2549,79,4.128,2.494,3.846
2016,race_x_formality,negras_sem_carteira,6239,323,3.795,4.654,5.755
2016,race_x_formality,nao_negras_com_carteira,1411,52,3.666,2.821,4.801
2016,race_x_formality,nao_negras_sem_carteira,2887,110,2.577,3.171,4.572
2017,overall,all,12837,564,3.127,4.052,4.762
2017,race,negras,8747,409,3.572,4.253,5.139
2017,race,nao_negras,4090,155,2.261,3.247,4.42
2017,formality,com_carteira,3689,128,3.105,2.926,4.11
2017,formality,sem_carteira,9148,436,3.136,4.348,5.222
2017,race_x_formality,negras_com_carteira,2392,86,3.597,2.921,4.419
2017,race_x_formality,negras_sem_carteira,6355,323,3.562,4.569,5.65
2017,race_x_formality,nao_negras_com_carteira,1297,42,2.249,2.405,4.348
2017,race_x_formality,nao_negras_sem_carteira,2793,113,2.266,3.376,4.842
2018,overall,all,12709,535,2.819,3.874,4.573
2018,race,negras,8573,389,3.177,4.117,4.999
2018,race,nao_negras,4135,146,2.145,3.01,4.138
2018,formality,com_carteira,3393,89,2.36,2.136,3.217
2018,formality,sem_carteira,9316,446,2.995,4.372,5.24
2018,race_x_formality,negras_com_carteira,2175,58,2.806,2.069,3.432
2018,race_x_formality,negras_sem_carteira,6398,331,3.31,4.657,5.744
2018,race_x_formality,nao_negras_com_carteira,1217,31,1.623,1.8,3.593
2018,race_x_formality,nao_negras_sem_carteira,2918,115,2.37,3.294,4.71
2019,overall,all,12526,502,2.829,3.678,4.365
2019,race,negras,8585,381,3.137,4.022,4.894
